store_id,item_id,date,daily_quantity
1,1,2023-07-01,1010
1,1,2023-07-02,959
1,1,2023-07-03,1028
1,1,2023-07-04,1021
1,1,2023-07-05,1048
1,1,2023-07-06,997
1,1,2023-07-07,969
1,1,2023-07-08,1071
1,1,2023-07-09,1004
1,1,2023-07-10,995
1,1,2023-07-11,971
1,1,2023-07-12,1027
1,1,2023-07-13,1018
1,1,2023-07-14,958
1,1,2023-07-15,959
1,1,2023-07-16,1017
1,1,2023-07-17,1066
1,1,2023-07-18,917
1,1,2023-07-19,1086
1,1,2023-07-20,993
1,1,2023-07-21,1011
1,1,2023-07-22,904
1,1,2023-07-23,1054
1,1,2023-07-24,1049
1,1,2023-07-25,897
1,1,2023-07-26,1012
1,1,2023-07-27,891
1,1,2023-07-28,914
1,1,2023-07-29,1019
1,1,2023-07-30,987
1,1,2023-07-31,1117
1,1,2023-08-01,1024
1,1,2023-08-02,927
1,1,2023-08-03,1148
1,1,2023-08-04,1007
1,1,2023-08-05,1039
1,1,2023-08-06,1093
1,1,2023-08-07,911
1,1,2023-08-08,998
1,1,2023-08-09,955
1,1,2023-08-10,1003
1,1,2023-08-11,1007
1,1,2023-08-12,1006
1,1,2023-08-13,974
1,1,2023-08-14,1034
1,1,2023-08-15,1141
1,1,2023-08-16,1042
1,1,2023-08-17,979
1,1,2023-08-18,911
1,1,2023-08-19,965
1,1,2023-08-20,1028
1,1,2023-08-21,1004
1,1,2023-08-22,884
1,1,2023-08-23,964
1,1,2023-08-24,971
1,1,2023-08-25,990
1,1,2023-08-26,1027
1,1,2023-08-27,1020
1,1,2023-08-28,927
1,1,2023-08-29,995
1,1,2023-08-30,995
1,1,2023-08-31,1073
1,1,2023-09-01,1120
1,1,2023-09-02,1061
1,1,2023-09-03,1036
1,1,2023-09-04,1027
1,1,2023-09-05,996
1,1,2023-09-06,981
1,1,2023-09-07,1016
1,1,2023-09-08,991
1,1,2023-09-09,933
1,1,2023-09-10,1061
1,1,2023-09-11,1083
1,1,2023-09-12,1019
1,1,2023-09-13,951
1,1,2023-09-14,1031
1,1,2023-09-15,913
1,1,2023-09-16,964
1,1,2023-09-17,1012
1,1,2023-09-18,1016
1,1,2023-09-19,985
1,1,2023-09-20,1020
1,1,2023-09-21,1081
1,1,2023-09-22,1042
1,1,2023-09-23,964
1,1,2023-09-24,1012
1,1,2023-09-25,1140
1,1,2023-09-26,953
1,1,2023-09-27,1082
1,1,2023-09-28,1083
1,1,2023-09-29,987
1,1,2023-09-30,1000
1,1,2023-10-01,1006
1,1,2023-10-02,1003
1,1,2023-10-03,1074
1,1,2023-10-04,965
1,1,2023-10-05,943
1,1,2023-10-06,1031
1,1,2023-10-07,1075
1,1,2023-10-08,992
1,1,2023-10-09,1008
1,1,2023-10-10,940
1,1,2023-10-11,968
1,1,2023-10-12,1045
1,1,2023-10-13,966
1,1,2023-10-14,1058
1,1,2023-10-15,930
1,1,2023-10-16,973
1,1,2023-10-17,1016
1,1,2023-10-18,1010
1,1,2023-10-19,1032
1,1,2023-10-20,890
1,1,2023-10-21,914
1,1,2023-10-22,1009
1,1,2023-10-23,991
1,1,2023-10-24,1050
1,1,2023-10-25,1035
1,1,2023-10-26,1016
1,1,2023-10-27,993
1,1,2023-10-28,928
1,1,2023-10-29,1044
1,1,2023-10-30,971
1,1,2023-10-31,934
1,1,2023-11-01,976
1,1,2023-11-02,893
1,1,2023-11-03,1036
1,1,2023-11-04,929
1,1,2023-11-05,981
1,1,2023-11-06,1078
1,1,2023-11-07,951
1,1,2023-11-08,978
1,1,2023-11-09,1061
1,1,2023-11-10,955
